available_tools,busy_since,capabilities,current_task_id,current_tool,estimated_available_time,fault_code,last_state_change,occupied_zones,reserved_at,resource_id,resource_type,status
"[""parallel_gripper"", ""vacuum_gripper""]",,"[""INDEX_MATERIAL_KIT"", ""INSTALL_FIN"", ""PICK_BASE_PLATE"", ""PICK_FIN"", ""PLACE_BASE_PLATE"", ""PREPARE_FIN_TOOL"", ""REINSTALL_FIN""]",,vacuum_gripper,972.9499999996629,,972.9499999996629,[],,ARM1,ROBOT,IDLE
"[""brazing_dispenser""]",,"[""DISPENSE_BRAZING"", ""REWORK_BRAZING""]",,brazing_dispenser,811.5999999998096,,811.5999999998096,[],,ARM2,ROBOT,IDLE
"[""inspection_camera""]",,"[""INSPECT_BRAZING"", ""INSPECT_FINS"", ""POST_BRAZE_INSPECTION"", ""SECOND_POST_BRAZE_VIEW"", ""VERIFY_BASE_ALIGNMENT""]",,inspection_camera,1051.3999999995915,,1051.3999999995915,[],,ARM3,ROBOT,IDLE
"[""dual_module_hook"", ""mold_hook"", ""press_hook""]",,"[""FETCH_COMB"", ""FETCH_MOLD"", ""FETCH_PRESS_MODULE"", ""INSTALL_COMB"", ""INSTALL_MOLD"", ""INSTALL_PRESS_MODULE"", ""REMOVE_OLD_COMB"", ""REMOVE_OLD_MOLD"", ""REMOVE_OLD_PRESS"", ""VERIFY_CHANGEOVER"", ""VERIFY_COMB"", ""VERIFY_MOLD""]",,dual_module_hook,987.5999999996495,,987.5999999996495,[],,CHANGEOVER_GANTRY,GANTRY,IDLE
[],,"[""MOVE_ELEVATOR"", ""SAFE_HOME_TRANSFER"", ""UNLOAD_RACK_LAYER""]",,,1033.149999999608,,1033.149999999608,[],,ELEVATOR,TRANSFER,IDLE
[],,"[""INDEX_EMPTY_TRAY""]",,,746.249999999869,,746.249999999869,[],,EMPTY_TRAY_INDEXER,INDEXER,IDLE
[],,"[""APPLY_PRESS"", ""CONFIGURE_COMB"", ""LOCK_FIXTURE""]",,,990.6999999996467,,990.6999999996467,[],,FIXTURE,FIXTURE,IDLE
[],,"[""BATCH_READY"", ""FURNACE_INTERLOCK_CHECK"", ""RUN_FURNACE""]",,,1014.9999999996246,,1014.9999999996246,[],,FURNACE,FURNACE,IDLE
[],,"[""INDEX_MATERIAL_KIT""]",,,745.7499999998695,,745.7499999998695,[],,MATERIAL_INDEXER,INDEXER,IDLE
[],,"[""ROUTE_PASS"", ""ROUTE_REWORK"", ""ROUTE_SCRAP"", ""TRANSFER_TRAY_OUT""]",,,1051.4999999995914,,1051.4999999995914,[],,OUTFEED,CONVEYOR,IDLE
[],,"[""LOCK_RACK_LAYER""]",,,754.3499999998617,,754.3499999998617,[],,RACK_LAYER_01,RACK_LAYER,IDLE
[],,"[""LOCK_RACK_LAYER""]",,,900.0999999997291,,900.0999999997291,[],,RACK_LAYER_02,RACK_LAYER,IDLE
[],,"[""LOCK_RACK_LAYER""]",,,1004.8999999996338,,1004.8999999996338,[],,RACK_LAYER_03,RACK_LAYER,IDLE
[],,"[""LOAD_RACK_LAYER"", ""SAFE_HOME_TRANSFER"", ""UNLOAD_RACK_LAYER""]",,,1027.0999999996136,,1027.0999999996136,[],,TRANSFER_FORK,TRANSFER,IDLE
[],,"[""ROTATE_TABLE2"", ""VERIFY_TURNTABLE""]",,,892.3499999997362,,892.3499999997362,[],,TURNTABLE,TURNTABLE,IDLE
