assigned_resource,created_at,display_detail_zh,display_name_zh,eligible_resources,estimated_duration,failure_reason,finished_at,motion_constraints,nest_id,order_id,payload,predecessors,priority,ready_at,recovery_for,required_tool,required_zones,reservation_id,retry_count,retry_limit,route_phase,sequence_index,started_at,station_capabilities,station_id,status,status_zh,successors,task_id,task_type,tray_id,unit_id
EMPTY_TRAY_INDEXER,0.0,工件1,空托盘补位,"[""EMPTY_TRAY_INDEXER""]",2.0,,2.000000000000001,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}",[],10,0.0,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,28,0.0,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_REMOVE_PRESS""]",ORDER_003_U01_INDEX_TRAY,INDEX_EMPTY_TRAY,tray_01,ORDER_003_UNIT_01
MATERIAL_INDEXER,0.0,工件1,索引订单物料盒,"[""MATERIAL_INDEXER""]",1.5,,1.5000000000000007,{},,ORDER_003,"{""product_id"": ""PRODUCT_C""}",[],10,0.0,,,"[""ZONE_MATERIAL_INDEXER""]",,0,0,,35,0.0,[],,SUCCEEDED,已完成,"[""ORDER_003_U01_PICK_BASE""]",ORDER_003_U01_INDEX_MATERIAL,INDEX_MATERIAL_KIT,tray_01,ORDER_003_UNIT_01
EMPTY_TRAY_INDEXER,0.0,工件1,空托盘补位,"[""EMPTY_TRAY_INDEXER""]",2.0,,18.60000000000013,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}",[],5,0.0,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,47,16.6000000000001,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_REMOVE_PRESS""]",ORDER_001_U01_INDEX_TRAY,INDEX_EMPTY_TRAY,tray_01,ORDER_001_UNIT_01
MATERIAL_INDEXER,0.0,工件1,索引订单物料盒,"[""MATERIAL_INDEXER""]",1.5,,3.049999999999997,{},,ORDER_001,"{""product_id"": ""PRODUCT_A""}",[],5,0.0,,,"[""ZONE_MATERIAL_INDEXER""]",,0,0,,54,1.5000000000000007,[],,SUCCEEDED,已完成,"[""ORDER_001_U01_PICK_BASE""]",ORDER_001_U01_INDEX_MATERIAL,INDEX_MATERIAL_KIT,tray_01,ORDER_001_UNIT_01
EMPTY_TRAY_INDEXER,0.0,工件1,空托盘补位,"[""EMPTY_TRAY_INDEXER""]",2.0,,557.150000000041,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}",[],3,555.1000000000429,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,64,555.1000000000429,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_REMOVE_PRESS""]",ORDER_002_U01_INDEX_TRAY,INDEX_EMPTY_TRAY,tray_01,ORDER_002_UNIT_01
MATERIAL_INDEXER,0.0,工件1,索引订单物料盒,"[""MATERIAL_INDEXER""]",1.5,,556.6500000000415,{},,ORDER_002,"{""product_id"": ""PRODUCT_B""}",[],3,555.1000000000429,,,"[""ZONE_MATERIAL_INDEXER""]",,0,0,,71,555.1000000000429,[],,SUCCEEDED,已完成,"[""ORDER_002_U01_PICK_BASE""]",ORDER_002_U01_INDEX_MATERIAL,INDEX_MATERIAL_KIT,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧压梁,"[""CHANGEOVER_GANTRY""]",2.5,,4.549999999999992,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_INDEX_TRAY""]",10,2.000000000000001,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,29,2.000000000000001,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_REMOVE_COMB""]",ORDER_003_U01_REMOVE_PRESS,REMOVE_OLD_PRESS,tray_01,ORDER_003_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧压梁,"[""CHANGEOVER_GANTRY""]",2.5,,21.100000000000165,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_INDEX_TRAY""]",5,18.60000000000013,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,48,18.60000000000013,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_REMOVE_COMB""]",ORDER_001_U01_REMOVE_PRESS,REMOVE_OLD_PRESS,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧压梁,"[""CHANGEOVER_GANTRY""]",2.5,,559.7000000000387,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_INDEX_TRAY""]",3,557.150000000041,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,65,557.150000000041,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_REMOVE_COMB""]",ORDER_002_U01_REMOVE_PRESS,REMOVE_OLD_PRESS,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧梳齿,"[""CHANGEOVER_GANTRY""]",3.0,,7.599999999999981,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_REMOVE_PRESS""]",10,4.549999999999992,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,30,4.549999999999992,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_REMOVE_MOLD""]",ORDER_003_U01_REMOVE_COMB,REMOVE_OLD_COMB,tray_01,ORDER_003_UNIT_01
